SiteCode,Lat,Lon,PF4k lat,PF4k lon,DHW
Cousin carbonate,-4.33292,55.65875,-4.3125,55.64583,7.5
Cousin granite reef,-4.32844,55.66162,-4.3125,55.64583,7.5
Cousin Patch reef,-4.33239,55.66632,-4.3125,55.64583,7.5
Mahe E carbonate,-4.71059,55.52704,-4.72917,55.52083,9.5
Mahe E granitic reef,-4.73496,55.52896,-4.72917,55.52083,9.5
Mahe E patch reef,-4.70357,55.5282,-4.6875,55.52083,5.5
Mahe NW Carbonate,-4.63499,55.37612,-4.64583,55.39583,4.5
Mahe NW granitic reef,-4.56267,55.43691,-4.5625,55.4375,3.5
Mahe NW patch reef,-4.61448,55.41627,-4.60417,55.39583,6.5
Mahe W carbonate,-4.66912,55.40025,-4.6875,55.39583,4.5
Mahe W granitic reef,-4.65983,55.36099,-4.64583,55.35417,4.5
Mahe W patch reef,-4.68468,55.43472,-4.6875,55.4375,6.5
Praslin NE carbonate,-4.31585,55.75669,-4.3125,55.77083,8.5
Praslin NE granitic reef,-4.29008,55.7075,-4.27083,55.6875,10.5
Praslin NE patch reef,-4.30365,55.74655,-4.3125,55.72917,7.5
Praslin SW carbonate,-4.35087,55.70152,-4.35417,55.6875,4.5
Praslin SW granitic reef,-4.31366,55.67872,-4.3125,55.6875,8.5
Praslin SW patch reef,-4.33394,55.69204,-4.35417,55.6875,4.5
Ste Anne carbonate,-4.60986,55.49636,-4.60417,55.47917,4.5
Ste. Anne granitic reef,-4.6051,55.51353,-4.60417,55.52083,2.5
Ste. Anne patch reef,-4.61809,55.5094,-4.60417,55.52083,2.5
