YEAR, M, D,    SST,   SSTA,     HS,    DHW, BAA
1994, 1, 1,  26.89,  -1.10,  -2.44,   0.00,   0
1994, 1, 2,  28.00,   0.01,  -1.33,   0.00,   0
1994, 1, 3,  28.12,   0.13,  -1.21,   0.00,   0
1994, 1, 4,  28.07,   0.07,  -1.26,   0.00,   0
1994, 1, 5,  28.06,   0.06,  -1.27,   0.00,   0
1994, 1, 6,  28.03,   0.03,  -1.30,   0.00,   0
1994, 1, 7,  28.28,   0.28,  -1.05,   0.00,   0
1994, 1, 8,  28.42,   0.41,  -0.91,   0.00,   0
1994, 1, 9,  28.87,   0.86,  -0.46,   0.00,   0
1994, 1,10,  28.90,   0.89,  -0.43,   0.00,   0
1994, 1,11,  28.83,   0.81,  -0.50,   0.00,   0
1994, 1,12,  29.07,   1.05,  -0.26,   0.00,   0
1994, 1,13,  28.74,   0.72,  -0.59,   0.00,   0
1994, 1,14,  28.06,   0.04,  -1.27,   0.00,   0
1994, 1,15,  28.05,   0.02,  -1.28,   0.00,   0
1994, 1,16,  28.04,  -0.01,  -1.29,   0.00,   0
1994, 1,17,  28.00,  -0.06,  -1.33,   0.00,   0
1994, 1,18,  27.98,  -0.10,  -1.35,   0.00,   0
1994, 1,19,  28.04,  -0.06,  -1.29,   0.00,   0
1994, 1,20,  28.39,   0.27,  -0.94,   0.00,   0
1994, 1,21,  28.48,   0.34,  -0.85,   0.00,   0
1994, 1,22,  28.72,   0.56,  -0.61,   0.00,   0
1994, 1,23,  28.97,   0.79,  -0.36,   0.00,   0
1994, 1,24,  29.17,   0.98,  -0.16,   0.00,   0
1994, 1,25,  29.54,   1.33,   0.21,   0.00,   1
1994, 1,26,  29.12,   0.89,  -0.21,   0.00,   0
1994, 1,27,  28.85,   0.60,  -0.48,   0.00,   0
1994, 1,28,  28.95,   0.68,  -0.38,   0.00,   0
1994, 1,29,  29.08,   0.79,  -0.25,   0.00,   0
1994, 1,30,  29.21,   0.90,  -0.12,   0.00,   0
1994, 1,31,  28.61,   0.28,  -0.72,   0.00,   0
1994, 2, 1,  27.12,  -1.22,  -2.21,   0.00,   0
1994, 2, 2,  28.35,  -0.01,  -0.98,   0.00,   0
1994, 2, 3,  27.67,  -0.71,  -1.66,   0.00,   0
1994, 2, 4,  27.86,  -0.54,  -1.47,   0.00,   0
1994, 2, 5,  28.02,  -0.40,  -1.31,   0.00,   0
1994, 2, 6,  28.06,  -0.38,  -1.27,   0.00,   0
1994, 2, 7,  28.11,  -0.35,  -1.22,   0.00,   0
1994, 2, 8,  27.59,  -0.88,  -1.74,   0.00,   0
1994, 2, 9,  27.58,  -0.91,  -1.75,   0.00,   0
1994, 2,10,  27.93,  -0.58,  -1.40,   0.00,   0
1994, 2,11,  27.98,  -0.55,  -1.35,   0.00,   0
1994, 2,12,  27.97,  -0.58,  -1.36,   0.00,   0
1994, 2,13,  27.67,  -0.90,  -1.66,   0.00,   0
1994, 2,14,  27.51,  -1.08,  -1.82,   0.00,   0
1994, 2,15,  27.49,  -1.11,  -1.84,   0.00,   0
1994, 2,16,  28.13,  -0.49,  -1.20,   0.00,   0
1994, 2,17,  28.18,  -0.45,  -1.15,   0.00,   0
1994, 2,18,  28.09,  -0.55,  -1.24,   0.00,   0
1994, 2,19,  28.04,  -0.61,  -1.29,   0.00,   0
1994, 2,20,  28.25,  -0.42,  -1.08,   0.00,   0
1994, 2,21,  28.47,  -0.21,  -0.86,   0.00,   0
1994, 2,22,  28.42,  -0.27,  -0.91,   0.00,   0
1994, 2,23,  28.47,  -0.24,  -0.86,   0.00,   0
1994, 2,24,  28.44,  -0.28,  -0.89,   0.00,   0
