YEAR, M, D,    SST,   SSTA,     HS,    DHW, BAA
1994, 1, 1,  26.42,  -1.56,  -2.91,   0.00,   0
1994, 1, 2,  27.79,  -0.20,  -1.54,   0.00,   0
1994, 1, 3,  27.97,  -0.02,  -1.36,   0.00,   0
1994, 1, 4,  28.01,   0.02,  -1.32,   0.00,   0
1994, 1, 5,  28.10,   0.10,  -1.23,   0.00,   0
1994, 1, 6,  28.08,   0.08,  -1.25,   0.00,   0
1994, 1, 7,  28.12,   0.12,  -1.21,   0.00,   0
1994, 1, 8,  28.38,   0.37,  -0.95,   0.00,   0
1994, 1, 9,  28.75,   0.74,  -0.58,   0.00,   0
1994, 1,10,  28.78,   0.77,  -0.55,   0.00,   0
1994, 1,11,  28.56,   0.54,  -0.77,   0.00,   0
1994, 1,12,  28.89,   0.87,  -0.44,   0.00,   0
1994, 1,13,  28.68,   0.66,  -0.65,   0.00,   0
1994, 1,14,  27.99,  -0.04,  -1.34,   0.00,   0
1994, 1,15,  28.10,   0.07,  -1.23,   0.00,   0
1994, 1,16,  28.20,   0.15,  -1.13,   0.00,   0
1994, 1,17,  28.14,   0.07,  -1.19,   0.00,   0
1994, 1,18,  28.11,   0.02,  -1.22,   0.00,   0
1994, 1,19,  28.11,   0.00,  -1.22,   0.00,   0
1994, 1,20,  28.40,   0.27,  -0.93,   0.00,   0
1994, 1,21,  28.52,   0.37,  -0.81,   0.00,   0
1994, 1,22,  28.74,   0.57,  -0.59,   0.00,   0
1994, 1,23,  29.04,   0.85,  -0.29,   0.00,   0
1994, 1,24,  29.44,   1.23,   0.11,   0.00,   1
1994, 1,25,  29.74,   1.51,   0.41,   0.00,   1
1994, 1,26,  29.25,   1.00,  -0.08,   0.00,   0
1994, 1,27,  28.95,   0.68,  -0.38,   0.00,   0
1994, 1,28,  29.04,   0.75,  -0.29,   0.00,   0
1994, 1,29,  29.22,   0.91,  -0.11,   0.00,   0
1994, 1,30,  29.32,   0.99,  -0.01,   0.00,   0
1994, 1,31,  28.92,   0.57,  -0.41,   0.00,   0
1994, 2, 1,  27.19,  -1.17,  -2.14,   0.00,   0
1994, 2, 2,  28.65,   0.27,  -0.68,   0.00,   0
1994, 2, 3,  28.40,  -0.00,  -0.93,   0.00,   0
1994, 2, 4,  28.48,   0.06,  -0.85,   0.00,   0
1994, 2, 5,  28.42,  -0.02,  -0.91,   0.00,   0
1994, 2, 6,  28.41,  -0.05,  -0.92,   0.00,   0
1994, 2, 7,  28.42,  -0.06,  -0.91,   0.00,   0
1994, 2, 8,  27.92,  -0.58,  -1.41,   0.00,   0
1994, 2, 9,  27.77,  -0.75,  -1.56,   0.00,   0
1994, 2,10,  27.88,  -0.66,  -1.45,   0.00,   0
1994, 2,11,  27.90,  -0.66,  -1.43,   0.00,   0
1994, 2,12,  27.87,  -0.71,  -1.46,   0.00,   0
1994, 2,13,  27.68,  -0.92,  -1.65,   0.00,   0
1994, 2,14,  27.57,  -1.05,  -1.76,   0.00,   0
1994, 2,15,  27.62,  -1.02,  -1.71,   0.00,   0
1994, 2,16,  28.17,  -0.48,  -1.16,   0.00,   0
1994, 2,17,  28.23,  -0.43,  -1.10,   0.00,   0
1994, 2,18,  28.13,  -0.54,  -1.20,   0.00,   0
1994, 2,19,  28.07,  -0.61,  -1.26,   0.00,   0
1994, 2,20,  28.36,  -0.33,  -0.97,   0.00,   0
1994, 2,21,  28.57,  -0.13,  -0.76,   0.00,   0
